Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Certainty.Level,Modification,Motivation,Last.Manual.Present.Natural.Modification,Number.Cells.Current.Range,Number.Cells.Present.Natural.Range,Change.In.Cells
Abditomys_latidens,Rodentia,Muridae,Abditomys,latidens,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via ecoregion.,Disjunct range likely anthropogenic in cause.,Version 1.0,5,9,4
Abeomelomys_sevia,Rodentia,Muridae,Abeomelomys,sevia,0) Present Natural range identical to IUCN range,None,NA,NA,10,10,0
Abrawayaomys_ruschii,Rodentia,Cricetidae,Abrawayaomys,ruschii,0) Present Natural range identical to IUCN range,None,NA,NA,20,20,0
Abrocoma_bennettii,Rodentia,Abrocomidae,Abrocoma,bennettii,0) Present Natural range identical to IUCN range,None,NA,NA,28,28,0
Abrocoma_boliviensis,Rodentia,Abrocomidae,Abrocoma,boliviensis,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Abrocoma_budini,Rodentia,Abrocomidae,Abrocoma,budini,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Abrocoma_cinerea,Rodentia,Abrocomidae,Abrocoma,cinerea,0) Present Natural range identical to IUCN range,None,NA,NA,82,82,0
Abrocoma_famatina,Rodentia,Abrocomidae,Abrocoma,famatina,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Abrocoma_shistacea,Rodentia,Abrocomidae,Abrocoma,shistacea,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Abrocoma_uspallata,Rodentia,Abrocomidae,Abrocoma,uspallata,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Abrocoma_vaccarum,Rodentia,Abrocomidae,Abrocoma,vaccarum,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Abrothrix_andinus,Rodentia,Cricetidae,Abrothrix,andinus,0) Present Natural range identical to IUCN range,None,NA,NA,103,103,0
Abrothrix_illutea,Rodentia,Cricetidae,Abrothrix,illutea,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Abrothrix_jelskii,Rodentia,Cricetidae,Abrothrix,jelskii,0) Present Natural range identical to IUCN range,None,NA,NA,89,89,0
Abrothrix_lanosus,Rodentia,Cricetidae,Abrothrix,lanosus,0) Present Natural range identical to IUCN range,None,NA,NA,17,17,0
Abrothrix_longipilis,Rodentia,Cricetidae,Abrothrix,longipilis,0) Present Natural range identical to IUCN range,None,NA,NA,116,116,0
Abrothrix_olivaceus,Rodentia,Cricetidae,Abrothrix,olivaceus,0) Present Natural range identical to IUCN range,None,NA,NA,177,177,0
Abrothrix_sanborni,Rodentia,Cricetidae,Abrothrix,sanborni,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Acerodon_celebensis,Chiroptera,Pteropodidae,Acerodon,celebensis,0) Present Natural range identical to IUCN range,None,NA,NA,59,59,0
Acerodon_humilis,Chiroptera,Pteropodidae,Acerodon,humilis,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Acerodon_jubatus,Chiroptera,Pteropodidae,Acerodon,jubatus,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Range expanded to suitable areas on inhabited island.,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.0,69,80,11
Acerodon_leucotis,Chiroptera,Pteropodidae,Acerodon,leucotis,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Acerodon_mackloti,Chiroptera,Pteropodidae,Acerodon,mackloti,0) Present Natural range identical to IUCN range,None,NA,NA,33,33,0
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,jubatus,2) Range expansions based on other sources for species with known range declines,Added historic range.,"Ray, Justina C. Lyke Hunter and Joanna Zigouris. 2005. Setting Conservation and Research Priorities for Larger African Carnivores. WCS Working Paper no 24. Wildlife Conservation Society, New York.",Version 1.0,870,4269,3399
Acomys_airensis,Rodentia,Muridae,Acomys,airensis,0) Present Natural range identical to IUCN range,None,NA,NA,238,238,0
Acomys_cahirinus,Rodentia,Muridae,Acomys,cahirinus,0) Present Natural range identical to IUCN range,None,NA,NA,534,534,0
Acomys_cilicicus,Rodentia,Muridae,Acomys,cilicicus,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Acomys_cineraceus,Rodentia,Muridae,Acomys,cineraceus,0) Present Natural range identical to IUCN range,None,NA,NA,166,166,0
Acomys_dimidiatus,Rodentia,Muridae,Acomys,dimidiatus,0) Present Natural range identical to IUCN range,None,NA,NA,270,270,0
Acomys_ignitus,Rodentia,Muridae,Acomys,ignitus,0) Present Natural range identical to IUCN range,None,NA,NA,22,22,0
Acomys_johannis,Rodentia,Muridae,Acomys,johannis,0) Present Natural range identical to IUCN range,None,NA,NA,73,73,0
Acomys_kempi,Rodentia,Muridae,Acomys,kempi,0) Present Natural range identical to IUCN range,None,NA,NA,91,91,0
Acomys_louisae,Rodentia,Muridae,Acomys,louisae,0) Present Natural range identical to IUCN range,None,NA,NA,109,109,0
Acomys_minous,Rodentia,Muridae,Acomys,minous,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Acomys_mullah,Rodentia,Muridae,Acomys,mullah,0) Present Natural range identical to IUCN range,None,NA,NA,35,35,0
Acomys_nesiotes,Rodentia,Muridae,Acomys,nesiotes,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Acomys_percivali,Rodentia,Muridae,Acomys,percivali,0) Present Natural range identical to IUCN range,None,NA,NA,43,43,0
Acomys_russatus,Rodentia,Muridae,Acomys,russatus,0) Present Natural range identical to IUCN range,None,NA,NA,130,130,0
Acomys_seurati,Rodentia,Muridae,Acomys,seurati,0) Present Natural range identical to IUCN range,None,NA,NA,46,46,0
Acomys_spinosissimus,Rodentia,Muridae,Acomys,spinosissimus,0) Present Natural range identical to IUCN range,None,NA,NA,247,247,0
Acomys_subspinosus,Rodentia,Muridae,Acomys,subspinosus,0) Present Natural range identical to IUCN range,None,NA,NA,17,17,0
Acomys_wilsoni,Rodentia,Muridae,Acomys,wilsoni,0) Present Natural range identical to IUCN range,None,NA,NA,186,186,0
Aconaemys_fuscus,Rodentia,Octodontidae,Aconaemys,fuscus,0) Present Natural range identical to IUCN range,None,NA,NA,8,8,0
Aconaemys_porteri,Rodentia,Octodontidae,Aconaemys,porteri,0) Present Natural range identical to IUCN range,None,NA,NA,8,8,0
Aconaemys_sagei,Rodentia,Octodontidae,Aconaemys,sagei,0) Present Natural range identical to IUCN range,None,NA,NA,13,13,0
Acratocnus_odontrigonus,Pilosa,Megalonychidae,Acratocnus,odontrigonus,4) Expansion of ranges to entire islands,Range set as Puerto Rico.,Expansion of ranges to entire islands.,Version 1.0,0,3,3
Acratocnus_ye,Pilosa,Megalonychidae,Acratocnus,ye,4) Expansion of ranges to entire islands,Range set as Hispaniola.,Expansion of ranges to entire islands.,Version 1.0,0,20,20
Acrobates_pygmaeus,Diprotodontia,Acrobatidae,Acrobates,pygmaeus,2) Range expansions based on other sources for species with known range declines,Added historic range.,"Strahan R, Van Dyck S (2008) The Mammals of Australia.",Version 1.0,198,204,6
Addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax,nasomaculatus,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range","Range expanded to suitable areas both north and south of Sahara, west of the Nile.","Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.2,24,153,129
Aegialomys_galapagoensis,Rodentia,Cricetidae,Aegialomys,galapagoensis,0) Present Natural range identical to IUCN range,None,Added cells coded Extinct or Possibly Extinct by IUCN.,NA,1,2,1
Aegialomys_xanthaeolus,Rodentia,Cricetidae,Aegialomys,xanthaeolus,0) Present Natural range identical to IUCN range,None,NA,NA,66,66,0
Aepeomys_lugens,Rodentia,Cricetidae,Aepeomys,lugens,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Aepeomys_reigi,Rodentia,Cricetidae,Aepeomys,reigi,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros,melampus,0) Present Natural range identical to IUCN range,None,NA,NA,461,461,0
Aepyprymnus_rufescens,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,2) Range expansions based on other sources for species with known range declines,Added historic range.,"Strahan R, Van Dyck S (2008) The Mammals of Australia.",Version 1.0,95,127,32
Aeretes_melanopterus,Rodentia,Sciuridae,Aeretes,melanopterus,0) Present Natural range identical to IUCN range,None,NA,NA,17,17,0
Aeromys_tephromelas,Rodentia,Sciuridae,Aeromys,tephromelas,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via suitable habitat.,Disjunct range likely anthropogenic in cause.,Version 1.0,83,141,58
Aeromys_thomasi,Rodentia,Sciuridae,Aeromys,thomasi,0) Present Natural range identical to IUCN range,None,NA,NA,73,73,0
Aethalops_aequalis,Chiroptera,Pteropodidae,Aethalops,aequalis,0) Present Natural range identical to IUCN range,None,NA,NA,29,29,0
Aethalops_alecto,Chiroptera,Pteropodidae,Aethalops,alecto,0) Present Natural range identical to IUCN range,None,NA,NA,62,62,0
Aethomys_bocagei,Rodentia,Muridae,Aethomys,bocagei,0) Present Natural range identical to IUCN range,None,NA,NA,47,47,0
Aethomys_chrysophilus,Rodentia,Muridae,Aethomys,chrysophilus,0) Present Natural range identical to IUCN range,None,NA,NA,529,529,0
Aethomys_granti,Rodentia,Muridae,Aethomys,granti,0) Present Natural range identical to IUCN range,None,NA,NA,27,27,0
Aethomys_hindei,Rodentia,Muridae,Aethomys,hindei,0) Present Natural range identical to IUCN range,None,NA,NA,316,316,0
Aethomys_ineptus,Rodentia,Muridae,Aethomys,ineptus,0) Present Natural range identical to IUCN range,None,NA,NA,84,84,0
Aethomys_kaiseri,Rodentia,Muridae,Aethomys,kaiseri,0) Present Natural range identical to IUCN range,None,NA,NA,237,237,0
Aethomys_namaquensis,Rodentia,Muridae,Aethomys,namaquensis,0) Present Natural range identical to IUCN range,None,NA,NA,417,417,0
Aethomys_nyikae,Rodentia,Muridae,Aethomys,nyikae,0) Present Natural range identical to IUCN range,None,NA,NA,126,126,0
Aethomys_silindensis,Rodentia,Muridae,Aethomys,silindensis,0) Present Natural range identical to IUCN range,None,NA,NA,9,9,0
Aethomys_stannarius,Rodentia,Muridae,Aethomys,stannarius,0) Present Natural range identical to IUCN range,None,NA,NA,26,26,0
Aethomys_thomasi,Rodentia,Muridae,Aethomys,thomasi,0) Present Natural range identical to IUCN range,None,NA,NA,47,47,0
Agalmaceros_blicki,Cetartiodactyla,Cervidae,Agalmaceros,blicki,8) Unique species-specific modifications in special cases,Range set as range predicted suitable for Hippocamelus sp. north of the range of H. antisensis . Since the habitat of the two are thought of as similar.,Unique species-specific modifications in special cases.,Version 1.0,0,80,80
Ailuropoda_melanoleuca,Carnivora,Ursidae,Ailuropoda,melanoleuca,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Added historic range based on Molecular Ecology 21: 5660-5674 (2012). Range expanded to suitable areas connected to historical ranges within the fossil range of the species from Molecular Ecology 21: 5660-5674 (2012).,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.0,26,211,185
Ailurops_melanotis,Diprotodontia,Phalangeridae,Ailurops,melanotis,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Ailurops_ursinus,Diprotodontia,Phalangeridae,Ailurops,ursinus,0) Present Natural range identical to IUCN range,None,NA,NA,53,53,0
Ailurus_fulgens,Carnivora,Ailuridae,Ailurus,fulgens,2) Range expansions based on other sources for species with known range declines,The two populations are connected through western China since the former distribution appear to have been much more continuous.,Smith and Xie. Mammals of China (2008).,Version 1.0,84,137,53
Akodon_aerosus,Rodentia,Cricetidae,Akodon,aerosus,0) Present Natural range identical to IUCN range,None,NA,NA,46,46,0
Akodon_affinis,Rodentia,Cricetidae,Akodon,affinis,0) Present Natural range identical to IUCN range,None,NA,NA,14,14,0
Akodon_albiventer,Rodentia,Cricetidae,Akodon,albiventer,0) Present Natural range identical to IUCN range,None,NA,NA,68,68,0
Akodon_aliquantulus,Rodentia,Cricetidae,Akodon,aliquantulus,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Akodon_azarae,Rodentia,Cricetidae,Akodon,azarae,0) Present Natural range identical to IUCN range,None,NA,NA,171,171,0
Akodon_boliviensis,Rodentia,Cricetidae,Akodon,boliviensis,0) Present Natural range identical to IUCN range,None,NA,NA,45,45,0
Akodon_budini,Rodentia,Cricetidae,Akodon,budini,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Akodon_cursor,Rodentia,Cricetidae,Akodon,cursor,0) Present Natural range identical to IUCN range,None,NA,NA,132,132,0
Akodon_dayi,Rodentia,Cricetidae,Akodon,dayi,0) Present Natural range identical to IUCN range,None,NA,NA,51,51,0
Akodon_dolores,Rodentia,Cricetidae,Akodon,dolores,0) Present Natural range identical to IUCN range,None,NA,NA,17,17,0
Akodon_fumeus,Rodentia,Cricetidae,Akodon,fumeus,0) Present Natural range identical to IUCN range,None,NA,NA,36,36,0
Akodon_iniscatus,Rodentia,Cricetidae,Akodon,iniscatus,0) Present Natural range identical to IUCN range,None,NA,NA,89,89,0
Akodon_juninensis,Rodentia,Cricetidae,Akodon,juninensis,0) Present Natural range identical to IUCN range,None,NA,NA,29,29,0
Akodon_kofordi,Rodentia,Cricetidae,Akodon,kofordi,0) Present Natural range identical to IUCN range,None,NA,NA,9,9,0
Akodon_leucolimnaeus,Rodentia,Cricetidae,Akodon,leucolimnaeus,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Akodon_lindberghi,Rodentia,Cricetidae,Akodon,lindberghi,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected as a convex hull.,Disjunct range likely anthropogenic in cause.,Version 1.0,6,30,24
Akodon_lutescens,Rodentia,Cricetidae,Akodon,lutescens,0) Present Natural range identical to IUCN range,None,NA,NA,34,34,0
Akodon_mimus,Rodentia,Cricetidae,Akodon,mimus,0) Present Natural range identical to IUCN range,None,NA,NA,19,19,0
Akodon_molinae,Rodentia,Cricetidae,Akodon,molinae,0) Present Natural range identical to IUCN range,None,NA,NA,70,70,0
Akodon_mollis,Rodentia,Cricetidae,Akodon,mollis,0) Present Natural range identical to IUCN range,None,NA,NA,52,52,0
Akodon_montensis,Rodentia,Cricetidae,Akodon,montensis,0) Present Natural range identical to IUCN range,None,NA,NA,147,147,0
Akodon_mystax,Rodentia,Cricetidae,Akodon,mystax,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Akodon_neocenus,Rodentia,Cricetidae,Akodon,neocenus,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Akodon_oenos,Rodentia,Cricetidae,Akodon,oenos,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Akodon_orophilus,Rodentia,Cricetidae,Akodon,orophilus,0) Present Natural range identical to IUCN range,None,NA,NA,14,14,0
Akodon_paranaensis,Rodentia,Cricetidae,Akodon,paranaensis,0) Present Natural range identical to IUCN range,None,NA,NA,53,53,0
Akodon_pervalens,Rodentia,Cricetidae,Akodon,pervalens,0) Present Natural range identical to IUCN range,None,NA,NA,8,8,0
Akodon_philipmyersi,Rodentia,Cricetidae,Akodon,philipmyersi,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Akodon_reigi,Rodentia,Cricetidae,Akodon,reigi,0) Present Natural range identical to IUCN range,None,NA,NA,13,13,0
Akodon_sanctipaulensis,Rodentia,Cricetidae,Akodon,sanctipaulensis,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Akodon_serrensis,Rodentia,Cricetidae,Akodon,serrensis,0) Present Natural range identical to IUCN range,None,NA,NA,55,55,0
Akodon_siberiae,Rodentia,Cricetidae,Akodon,siberiae,0) Present Natural range identical to IUCN range,None,NA,NA,10,10,0
Akodon_simulator,Rodentia,Cricetidae,Akodon,simulator,0) Present Natural range identical to IUCN range,None,NA,NA,33,33,0
Akodon_spegazzinii,Rodentia,Cricetidae,Akodon,spegazzinii,0) Present Natural range identical to IUCN range,None,NA,NA,16,16,0
Akodon_subfuscus,Rodentia,Cricetidae,Akodon,subfuscus,0) Present Natural range identical to IUCN range,None,NA,NA,39,39,0
Akodon_surdus,Rodentia,Cricetidae,Akodon,surdus,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Akodon_sylvanus,Rodentia,Cricetidae,Akodon,sylvanus,0) Present Natural range identical to IUCN range,None,NA,NA,14,14,0
Akodon_toba,Rodentia,Cricetidae,Akodon,toba,0) Present Natural range identical to IUCN range,None,NA,NA,67,67,0
Akodon_torques,Rodentia,Cricetidae,Akodon,torques,0) Present Natural range identical to IUCN range,None,NA,NA,19,19,0
Akodon_varius,Rodentia,Cricetidae,Akodon,varius,0) Present Natural range identical to IUCN range,None,NA,NA,40,40,0
Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus,buselaphus,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Suitable areas of North Africa and Middle East added.,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.0,952,1116,164
Alces_alces,Cetartiodactyla,Cervidae,Alces,alces,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Historic range (from the Iron age) taken from Willms (1987) Archeologia Polski 32: 249-291. Range expanded to suitable areas on Great Britain. Copied part from Alces americanus since the two are now considered conspecific.,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Version 1.2,2946,3398,452
Alionycteris_paucidentata,Chiroptera,Pteropodidae,Alionycteris,paucidentata,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Allactaga_balikunica,Rodentia,Dipodidae,Allactaga,balikunica,0) Present Natural range identical to IUCN range,None,NA,NA,48,48,0
Allactaga_bullata,Rodentia,Dipodidae,Allactaga,bullata,0) Present Natural range identical to IUCN range,None,NA,NA,214,214,0
Allactaga_elater,Rodentia,Dipodidae,Allactaga,elater,0) Present Natural range identical to IUCN range,None,NA,NA,539,539,0
Allactaga_euphratica,Rodentia,Dipodidae,Allactaga,euphratica,0) Present Natural range identical to IUCN range,None,NA,NA,102,102,0
Allactaga_firouzi,Rodentia,Dipodidae,Allactaga,firouzi,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Allactaga_hotsoni,Rodentia,Dipodidae,Allactaga,hotsoni,0) Present Natural range identical to IUCN range,None,NA,NA,74,74,0
Allactaga_major,Rodentia,Dipodidae,Allactaga,major,0) Present Natural range identical to IUCN range,None,NA,NA,582,582,0
Allactaga_severtzovi,Rodentia,Dipodidae,Allactaga,severtzovi,0) Present Natural range identical to IUCN range,None,NA,NA,150,150,0
Allactaga_sibirica,Rodentia,Dipodidae,Allactaga,sibirica,0) Present Natural range identical to IUCN range,None,NA,NA,740,740,0
Allactaga_tetradactyla,Rodentia,Dipodidae,Allactaga,tetradactyla,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected Join along the coast.,Disjunct range likely anthropogenic in cause.,Version 1.0,18,21,3
Allactaga_vinogradovi,Rodentia,Dipodidae,Allactaga,vinogradovi,0) Present Natural range identical to IUCN range,None,NA,NA,24,24,0
Allactaga_williamsi,Rodentia,Dipodidae,Allactaga,williamsi,0) Present Natural range identical to IUCN range,None,NA,NA,128,128,0
Allactodipus_bobrinskii,Rodentia,Dipodidae,Allactodipus,bobrinskii,0) Present Natural range identical to IUCN range,None,NA,NA,62,62,0
Allenopithecus_nigroviridis,Primates,Cercopithecidae,Allenopithecus,nigroviridis,0) Present Natural range identical to IUCN range,None,NA,NA,75,75,0
Allocebus_trichotis,Primates,Cheirogaleidae,Allocebus,trichotis,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Range expanded to suitable areas on the western side of the island.,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.0,16,39,23
Allochrocebus_lhoesti,Primates,Cercopithecidae,Allochrocebus,lhoesti,0) Present Natural range identical to IUCN range,None,NA,NA,44,44,0
Allochrocebus_preussi,Primates,Cercopithecidae,Allochrocebus,preussi,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via suitable habitat.,Disjunct range likely anthropogenic in cause.,Version 1.0,12,13,1
Allochrocebus_solatus,Primates,Cercopithecidae,Allochrocebus,solatus,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Allocricetulus_curtatus,Rodentia,Cricetidae,Allocricetulus,curtatus,0) Present Natural range identical to IUCN range,None,NA,NA,211,211,0
Allocricetulus_eversmanni,Rodentia,Cricetidae,Allocricetulus,eversmanni,0) Present Natural range identical to IUCN range,None,NA,NA,248,248,0
Alouatta_arctoidea,Primates,Atelidae,Alouatta,arctoidea,0) Present Natural range identical to IUCN range,None,NA,NA,64,64,0
Alouatta_belzebul,Primates,Atelidae,Alouatta,belzebul,0) Present Natural range identical to IUCN range,None,NA,NA,131,131,0
Alouatta_caraya,Primates,Atelidae,Alouatta,caraya,0) Present Natural range identical to IUCN range,None,NA,NA,396,396,0
Alouatta_discolor,Primates,Atelidae,Alouatta,discolor,0) Present Natural range identical to IUCN range,None,NA,NA,64,64,0
Alouatta_guariba,Primates,Atelidae,Alouatta,guariba,0) Present Natural range identical to IUCN range,None,NA,NA,158,158,0
Alouatta_macconnelli,Primates,Atelidae,Alouatta,macconnelli,0) Present Natural range identical to IUCN range,None,NA,NA,232,232,0
Alouatta_nigerrima,Primates,Atelidae,Alouatta,nigerrima,0) Present Natural range identical to IUCN range,None,NA,NA,42,42,0
Alouatta_palliata,Primates,Atelidae,Alouatta,palliata,0) Present Natural range identical to IUCN range,None,NA,NA,125,125,0
Alouatta_pigra,Primates,Atelidae,Alouatta,pigra,0) Present Natural range identical to IUCN range,None,NA,NA,41,41,0
Alouatta_sara,Primates,Atelidae,Alouatta,sara,0) Present Natural range identical to IUCN range,None,NA,NA,60,60,0
Alouatta_seniculus,Primates,Atelidae,Alouatta,seniculus,NA,NA,Species not mapped by IUCN.,NA,0,0,0
Alouatta_ululata,Primates,Atelidae,Alouatta,ululata,0) Present Natural range identical to IUCN range,None,NA,NA,22,22,0
Alticola_albicaudus,Rodentia,Cricetidae,Alticola,albicaudus,0) Present Natural range identical to IUCN range,None,NA,NA,16,16,0
Alticola_argentatus,Rodentia,Cricetidae,Alticola,argentatus,0) Present Natural range identical to IUCN range,None,NA,NA,219,219,0
Alticola_barakshin,Rodentia,Cricetidae,Alticola,barakshin,0) Present Natural range identical to IUCN range,None,NA,NA,63,63,0
Alticola_lemminus,Rodentia,Cricetidae,Alticola,lemminus,0) Present Natural range identical to IUCN range,None,NA,NA,369,369,0
Alticola_macrotis,Rodentia,Cricetidae,Alticola,macrotis,0) Present Natural range identical to IUCN range,None,NA,NA,114,114,0
Alticola_montosa,Rodentia,Cricetidae,Alticola,montosa,0) Present Natural range identical to IUCN range,None,NA,NA,8,8,0
Alticola_olchonensis,Rodentia,Cricetidae,Alticola,olchonensis,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Alticola_roylei,Rodentia,Cricetidae,Alticola,roylei,0) Present Natural range identical to IUCN range,None,NA,NA,14,14,0
Alticola_semicanus,Rodentia,Cricetidae,Alticola,semicanus,0) Present Natural range identical to IUCN range,None,NA,NA,116,116,0
Alticola_stoliczkanus,Rodentia,Cricetidae,Alticola,stoliczkanus,0) Present Natural range identical to IUCN range,None,NA,NA,292,292,0
Alticola_strelzowi,Rodentia,Cricetidae,Alticola,strelzowi,0) Present Natural range identical to IUCN range,None,NA,NA,97,97,0
Alticola_tuvinicus,Rodentia,Cricetidae,Alticola,tuvinicus,0) Present Natural range identical to IUCN range,None,NA,NA,37,37,0
Amblyrhiza_inundata,Rodentia,Echimyidae,Amblyrhiza,inundata,4) Expansion of ranges to entire islands,Range set as Anguilla and Saint Martin.,Expansion of ranges to entire islands.,Version 1.0,0,2,2
Amblysomus_corriae,Afrosoricida,Chrysochloridae,Amblysomus,corriae,0) Present Natural range identical to IUCN range,None,NA,NA,16,16,0
Amblysomus_hottentotus,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,0) Present Natural range identical to IUCN range,None,NA,NA,42,42,0
Amblysomus_marleyi,Afrosoricida,Chrysochloridae,Amblysomus,marleyi,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Amblysomus_robustus,Afrosoricida,Chrysochloridae,Amblysomus,robustus,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Amblysomus_septentrionalis,Afrosoricida,Chrysochloridae,Amblysomus,septentrionalis,0) Present Natural range identical to IUCN range,None,NA,NA,15,15,0
Ametrida_centurio,Chiroptera,Phyllostomidae,Ametrida,centurio,0) Present Natural range identical to IUCN range,None,NA,NA,703,703,0
Ammodillus_imbellis,Rodentia,Muridae,Ammodillus,imbellis,0) Present Natural range identical to IUCN range,None,NA,NA,26,26,0
Ammodorcas_clarkei,Cetartiodactyla,Bovidae,Ammodorcas,clarkei,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Range expanded to suitable areas connected to current distribution.,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.2,26,41,15
Ammospermophilus_harrisii,Rodentia,Sciuridae,Ammospermophilus,harrisii,0) Present Natural range identical to IUCN range,None,NA,NA,44,44,0
Ammospermophilus_interpres,Rodentia,Sciuridae,Ammospermophilus,interpres,0) Present Natural range identical to IUCN range,None,NA,NA,54,54,0
Ammospermophilus_leucurus,Rodentia,Sciuridae,Ammospermophilus,leucurus,0) Present Natural range identical to IUCN range,None,NA,NA,162,162,0
Ammospermophilus_nelsoni,Rodentia,Sciuridae,Ammospermophilus,nelsoni,0) Present Natural range identical to IUCN range,None,Added cells coded Extinct or Possibly Extinct by IUCN.,NA,4,6,2
Ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus,lervia,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Range expanded to suitable areas connected to current distributions. Range restricted to Africa.,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.0,309,873,564
Amorphochilus_schnablii,Chiroptera,Furipteridae,Amorphochilus,schnablii,0) Present Natural range identical to IUCN range,None,NA,NA,63,63,0
Amphinectomys_savamis,Rodentia,Cricetidae,Amphinectomys,savamis,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Anathana_ellioti,Scandentia,Tupaiidae,Anathana,ellioti,0) Present Natural range identical to IUCN range,None,NA,NA,188,188,0
Andalgalomys_olrogi,Rodentia,Cricetidae,Andalgalomys,olrogi,0) Present Natural range identical to IUCN range,None,NA,NA,15,15,0
Andalgalomys_pearsoni,Rodentia,Cricetidae,Andalgalomys,pearsoni,0) Present Natural range identical to IUCN range,None,NA,NA,25,25,0
Andinomys_edax,Rodentia,Cricetidae,Andinomys,edax,0) Present Natural range identical to IUCN range,None,NA,NA,49,49,0
Anisomys_imitator,Rodentia,Muridae,Anisomys,imitator,0) Present Natural range identical to IUCN range,None,NA,NA,46,46,0
Anomalurus_beecrofti,Rodentia,Anomaluridae,Anomalurus,beecrofti,0) Present Natural range identical to IUCN range,None,NA,NA,424,424,0
Anomalurus_derbianus,Rodentia,Anomaluridae,Anomalurus,derbianus,0) Present Natural range identical to IUCN range,None,NA,NA,723,723,0
Anomalurus_pelii,Rodentia,Anomaluridae,Anomalurus,pelii,0) Present Natural range identical to IUCN range,None,NA,NA,44,44,0
