Rank,Order.1.2,Family.1.2,Binomial.1.2,Diet,Mass
302,Rodentia,Cricetidae,Lasiopodomys_mandarinus,Recorded,Missing
303,Rodentia,Muridae,Niviventer_coninga,Recorded,Missing
304,Rodentia,Nesomyidae,Hypogeomys_australis,Missing,Recorded
305,Rodentia,Muridae,Apodemus_rusiges,Recorded,Missing
306,Rodentia,Cricetidae,Rhipidomys_macrurus,Missing,Recorded
307,Rodentia,Muridae,Abeomelomys_sevia,Missing,Recorded
308,Eulipotyphla,Soricidae,Crocidura_phuquocensis,Missing,Missing
309,Rodentia,Muridae,Solomys_salamonis,Recorded,Missing
310,Rodentia,Muridae,Grammomys_selousi,Missing,Missing
311,Cetartiodactyla,Bovidae,Gazella_tingitana,Missing,Missing
312,Primates,Cebidae,Cebus_aequatorialis,Missing,Recorded
313,Rodentia,Cricetidae,Alticola_tuvinicus,Recorded,Missing
314,Rodentia,Cricetidae,Alticola_olchonensis,Recorded,Missing
315,Cetartiodactyla,Cervidae,Sinomegaceros_yabei,Missing,Recorded
316,Cetartiodactyla,Bovidae,Gazella_atlantica,Missing,Recorded
317,Chiroptera,Hipposideridae,Paratriaenops_auritus,Missing,Recorded
318,Eulipotyphla,Soricidae,Crocidura_sokolovi,Missing,Missing
319,Eulipotyphla,Soricidae,Crocidura_phanluongi,Missing,Missing
320,Rodentia,Calomyscidae,Calomys_expulsus,Missing,Recorded
321,Primates,Cebidae,Cebus_cuscinus,Missing,Recorded
322,Rodentia,Muridae,Rattus_pococki,Recorded,Missing
323,Rodentia,Muridae,Bullimus_bagobus,Missing,Recorded
324,Rodentia,Muridae,Bullimus_luzonicus,Missing,Recorded
325,Rodentia,Muridae,Bullimus_gamay,Missing,Recorded
326,Chiroptera,Vespertilionidae,Myotis_nyctor,Missing,Missing
327,Rodentia,Muridae,Rattus_arrogans,Recorded,Missing
328,Eulipotyphla,Soricidae,Crocidura_zaitsevi,Missing,Missing
329,Rodentia,Muridae,Rattus_arfakienis,Recorded,Missing
330,Rodentia,Cricetidae,Podoxymys_roraimae,Missing,Recorded
331,Eulipotyphla,Soricidae,Chimarrogale_phaeura,Recorded,Missing
332,Rodentia,Muridae,Stenocephalemys_albocaudata,Missing,Recorded
333,Didelphimorphia,Didelphidae,Thylamys_fenestrae,Missing,Missing
334,Dasyuromorphia,Dasyuridae,Phascolosorex_doriae,Missing,Recorded
335,Rodentia,Muridae,Thallomys_loringi,Recorded,Missing
336,Rodentia,Muridae,Hadromys_yunnanensis,Missing,Recorded
337,Rodentia,Muridae,Rattus_mollicomulus,Recorded,Missing
338,Rodentia,Muridae,Lamottemys_okuensis,Missing,Recorded
339,Rodentia,Muridae,Rattus_koopmani,Recorded,Missing
340,Rodentia,Muridae,Rattus_timorensis,Recorded,Missing
341,Primates,Indriidae,Avahi_betsileo,Missing,Recorded
342,Rodentia,Nesomyidae,Dendromus_lachaisei,Missing,Missing
343,Primates,Cheirogaleidae,Microcebus_macarthurii,Missing,Recorded
344,Rodentia,Muridae,Apodemus_ponticus,Recorded,Missing
345,Rodentia,Nesomyidae,Dendromus_ruppi,Missing,Missing
346,Rodentia,Cricetidae,Aepeomys_lugens,Missing,Recorded
347,Rodentia,Nesomyidae,Eliurus_carletoni,Missing,Missing
348,Rodentia,Caviidae,Hydrochoerus_isthmius,Missing,Recorded
349,Chiroptera,Phyllostomidae,Vampyrodes_major,Missing,Missing
350,Rodentia,Muridae,Rattus_hainaldi,Recorded,Missing
351,Rodentia,Muridae,Hylomyscus_walterverheyeni,Missing,Missing
352,Rodentia,Muridae,Pithecheirops_otion,Missing,Recorded
353,Rodentia,Cricetidae,Andalgalomys_pearsoni,Missing,Recorded
354,Rodentia,Cricetidae,Andalgalomys_olrogi,Missing,Recorded
355,Carnivora,Canidae,Theriodictis_tarijensis,Missing,Recorded
356,Rodentia,Muridae,Hylomyscus_pamfi,Missing,Missing
357,Eulipotyphla,Soricidae,Chodsigoa_sodalis,Missing,Recorded
358,Rodentia,Cricetidae,Neodon_linzhiensis,Missing,Missing
359,Rodentia,Muridae,Margaretamys_beccarii,Missing,Recorded
360,Rodentia,Muridae,Margaretamys_elegans,Missing,Recorded
360,Rodentia,Muridae,Margaretamys_parvus,Missing,Recorded
362,Eulipotyphla,Soricidae,Crocidura_dhofarensis,Recorded,Missing
363,Chiroptera,Phyllostomidae,Platyrrhinus_nitelinea,Missing,Missing
364,Chiroptera,Phyllostomidae,Platyrrhinus_aquilus,Missing,Missing
365,Chiroptera,Pteropodidae,Paranyctimene_tenax,Missing,Recorded
366,Rodentia,Cricetidae,Oecomys_auyantepui,Missing,Recorded
367,Rodentia,Muridae,Rattus_macleari,Recorded,Missing
368,Rodentia,Nesomyidae,Megadendromus_nikolausi,Missing,Recorded
369,Rodentia,Muridae,Rattus_nativitatis,Recorded,Missing
370,Rodentia,Cricetidae,Akodon_montensis,Missing,Recorded
371,Rodentia,Cricetidae,Oligoryzomys_brendae,Recorded,Missing
372,Rodentia,Cricetidae,Microtus_brachycercus,Recorded,Missing
373,Rodentia,Muridae,Eropeplus_canus,Missing,Recorded
374,Rodentia,Cricetidae,Microtus_kermanensis,Missing,Missing
375,Eulipotyphla,Erinaceidae,Hylomys_parvus,Missing,Recorded
376,Rodentia,Cricetidae,Nesoryzomys_spC,Missing,Missing
377,Rodentia,Cricetidae,Nesoryzomys_spD,Missing,Missing
378,Primates,Lepilemuridae,Lepilemur_hollandorum,Missing,Recorded
379,Rodentia,Cricetidae,Nesoryzomys_spB,Missing,Missing
380,Rodentia,Cricetidae,Proedromys_liangshanensis,Missing,Recorded
381,Afrosoricida,Chrysochloridae,Amblysomus_robustus,Recorded,Missing
382,Primates,Indriidae,Avahi_mooreorum,Missing,Recorded
383,Rodentia,Muridae,Arvicanthis_ansorgei,Recorded,Missing
384,Rodentia,Muridae,Soricomys_musseri,Missing,Recorded
385,Chiroptera,Phyllostomidae,Artibeus_schwartzi,Missing,Missing
386,Rodentia,Cricetidae,Oxymycterus_amazonicus,Missing,Recorded
387,Rodentia,Cricetidae,Microtus_nasarovi,Recorded,Missing
388,Rodentia,Cricetidae,Salinomys_delicatus,Missing,Recorded
389,Cetartiodactyla,Bovidae,Hemitragus_cedrensis,Missing,Recorded
390,Rodentia,Muridae,Pseudomys_calabyi,Recorded,Missing
391,Chiroptera,Pteropodidae,Myonycteris_leptodon,Missing,Missing
392,Rodentia,Cricetidae,Thomasomys_cinnameus,Missing,Recorded
392,Rodentia,Cricetidae,Thomasomys_gracilis,Missing,Recorded
394,Carnivora,Procyonidae,Bassaricyon_medius,Missing,Missing
395,Rodentia,Cricetidae,Thomasomys_hudsoni,Missing,Recorded
396,Primates,Cercopithecidae,Piliocolobus_epieni,Missing,Missing
397,Primates,Lepilemuridae,Lepilemur_scottorum,Missing,Recorded
398,Primates,Cercopithecidae,Piliocolobus_bouvieri,Missing,Missing
399,Rodentia,Cricetidae,Thomasomys_notatus,Missing,Recorded
400,Rodentia,Muridae,Rattus_blangorum,Recorded,Missing
401,Rodentia,Muridae,Coryphomys_musseri,Missing,Recorded
402,Rodentia,Muridae,Rattus_burrus,Recorded,Missing
403,Rodentia,Cricetidae,Thomasomys_taczanowskii,Missing,Recorded
404,Primates,Lemuridae,Eulemur_flavifrons,Missing,Recorded
405,Rodentia,Cricetidae,Oxymycterus_quaestor,Missing,Recorded
406,Rodentia,Muridae,Rattus_simalurensis,Recorded,Missing
407,Chiroptera,Pteropodidae,Balionycteris_maculata,Missing,Recorded
408,Rodentia,Muridae,Coryphomys_buehleri,Missing,Recorded
409,Rodentia,Muridae,Rattus_nikenii,Missing,Missing
410,Rodentia,Cricetidae,Thomasomys_vulcani,Missing,Recorded
411,Rodentia,Cricetidae,Akodon_leucolimnaeus,Missing,Missing
412,Rodentia,Muridae,Desmomys_harringtoni,Missing,Recorded
413,Rodentia,Muridae,Pseudomys_patrius,Recorded,Missing
414,Rodentia,Muridae,Desmomys_yaldeni,Missing,Recorded
415,Eulipotyphla,Soricidae,Paracrocidura_schoutedeni,Missing,Recorded
416,Rodentia,Erethizontidae,Coendou_baturitensis,Missing,Missing
417,Rodentia,Cricetidae,Rhipidomys_emiliae,Missing,Recorded
418,Rodentia,Cricetidae,Thomasomys_ladewi,Missing,Recorded
419,Cetartiodactyla,Cervidae,Agalmaceros_blicki,Missing,Recorded
420,Cetartiodactyla,Bovidae,Philantomba_walteri,Missing,Recorded
421,Didelphimorphia,Didelphidae,Monodelphis_peruviana,Missing,Recorded
422,Afrosoricida,Tenrecidae,Microgale_macpheei,Missing,Recorded
423,Primates,Cercopithecidae,Piliocolobus_oustaleti,Missing,Recorded
424,Chiroptera,Vespertilionidae,Kerivoula_titania,Missing,Recorded
425,Chiroptera,Vespertilionidae,Kerivoula_kachinensis,Missing,Recorded
426,Chiroptera,Vespertilionidae,Rhogeessa_hussoni,Missing,Recorded
427,Rodentia,Nesomyidae,Nesomys_audeberti,Missing,Recorded
428,Rodentia,Cricetidae,Kunsia_fronto,Missing,Recorded
429,Diprotodontia,Macropodidae,Wallabia_kitcheneri,Missing,Recorded
430,Primates,Cercopithecidae,Cercopithecus_denti,Missing,Recorded
431,Primates,Hominidae,Homo_floresiensis,Missing,Recorded
432,Diprotodontia,Petauridae,Dactylopsila_kambuayai,Missing,Recorded
433,Eulipotyphla,Soricidae,Chodsigoa_parca,Missing,Recorded
434,Rodentia,Muridae,Conilurus_albipes,Missing,Recorded
435,Didelphimorphia,Didelphidae,Thylamys_pulchellus,Missing,Recorded
436,Rodentia,Cricetidae,Thomasomys_baeops,Missing,Recorded
437,Rodentia,Cricetidae,Thomasomys_daphne,Missing,Recorded
438,Rodentia,Erethizontidae,Coendou_rufescens,Missing,Recorded
439,Carnivora,Mustelidae,Mustela_felipei,Missing,Recorded
440,Rodentia,Cricetidae,Thomasomys_oreas,Missing,Recorded
441,Eulipotyphla,Soricidae,Nesiotites_similis,Missing,Recorded
442,Rodentia,Cricetidae,Akodon_paranaensis,Missing,Recorded
443,Rodentia,Cricetidae,Thomasomys_incanus,Missing,Recorded
444,Primates,Cercopithecidae,Cercopithecus_lowei,Missing,Recorded
445,Rodentia,Cricetidae,Rhipidomys_gardneri,Missing,Recorded
446,Carnivora,Phocidae,Neomonachus_schauinslandi,Missing,Recorded
447,Rodentia,Muridae,Notomys_robustus,Missing,Recorded
448,Rodentia,Cricetidae,Thomasomys_cinereiventer,Missing,Recorded
449,Rodentia,Muridae,Stenocephalemys_griseicauda,Missing,Recorded
450,Cetartiodactyla,Bovidae,Bubalus_grovesi,Missing,Recorded
451,Rodentia,Cricetidae,Thomasomys_ischyrus,Missing,Recorded
452,Rodentia,Cricetidae,Thomasomys_kalinowskii,Missing,Recorded
453,Eulipotyphla,Soricidae,Sylvisorex_pluvialis,Missing,Recorded
454,Diprotodontia,Macropodidae,Thylogale_christenseni,Missing,Recorded
454,Rodentia,Cricetidae,Thomasomys_caudivarius,Missing,Recorded
456,Rodentia,Cricetidae,Necromys_lenguarum,Missing,Recorded
457,Eulipotyphla,Soricidae,Chodsigoa_hypsibia,Missing,Recorded
457,Didelphimorphia,Didelphidae,Thylamys_citellus,Missing,Recorded
459,Cetartiodactyla,Cervidae,Capreolus_miyakoensis,Missing,Recorded
460,Primates,Cercopithecidae,Cercocebus_lunulatus,Missing,Recorded
461,Rodentia,Muridae,Taterillus_tranieri,Missing,Recorded
462,Rodentia,Cricetidae,Thomasomys_cinereus,Missing,Recorded
463,Rodentia,Cricetidae,Thomasomys_paramorum,Missing,Recorded
464,Chiroptera,Vespertilionidae,Murina_harrisoni,Missing,Recorded
465,Rodentia,Cricetidae,Thomasomys_silvestris,Missing,Recorded
466,Rodentia,Cricetidae,Microryzomys_altissimus,Missing,Recorded
467,Eulipotyphla,Soricidae,Paracrocidura_maxima,Missing,Recorded
468,Chiroptera,Vespertilionidae,Laephotis_angolensis,Missing,Recorded
468,Eulipotyphla,Soricidae,Nesiotites_hidalgo,Missing,Recorded
470,Primates,Cercopithecidae,Piliocolobus_waldronae,Missing,Recorded
471,Rodentia,Muridae,Palawanomys_furvus,Missing,Recorded
472,Rodentia,Nesomyidae,Nesomys_lambertoni,Missing,Recorded
473,Lagomorpha,Leporidae,Nesolagus_timminsi,Missing,Recorded
474,Rodentia,Muridae,Crunomys_melanius,Missing,Recorded
475,Rodentia,Nesomyidae,Eliurus_antsingy,Missing,Recorded
476,Cetartiodactyla,Bovidae,Myotragus_balearicus,Missing,Recorded
477,Rodentia,Cricetidae,Abrothrix_lanosus,Missing,Recorded
477,Rodentia,Cricetidae,Thomasomys_erro,Missing,Recorded
479,Chiroptera,Phyllostomidae,Phyllops_silvai,Missing,Recorded
480,Rodentia,Muridae,Malpaisomys_insularis,Missing,Recorded
481,Rodentia,Cricetidae,Thomasomys_pyrrhonotus,Missing,Recorded
482,Cetartiodactyla,Hippopotamidae,Phanourios_minutes,Missing,Recorded
483,Chiroptera,Vespertilionidae,Laephotis_namibensis,Missing,Recorded
484,Rodentia,Nesomyidae,Eliurus_petteri,Missing,Recorded
485,Rodentia,Cricetidae,Thomasomys_eleusis,Missing,Recorded
486,Eulipotyphla,Soricidae,Myosorex_gnoskei,Missing,Recorded
487,Rodentia,Cricetidae,Akodon_reigi,Missing,Recorded
488,Rodentia,Muridae,Paraleptomys_wilhelmina,Missing,Recorded
489,Rodentia,Cricetidae,Abrothrix_sanborni,Missing,Recorded
490,Carnivora,Canidae,Cynotherium_sardous,Missing,Recorded
491,Rodentia,Cricetidae,Oxymycterus_caparoae,Missing,Recorded
492,Chiroptera,Phyllostomidae,Artibeus_anthonyi,Missing,Recorded
493,Rodentia,Cricetidae,Abrothrix_illutea,Missing,Recorded
494,Didelphimorphia,Didelphidae,Marmosops_pakaraimae,Missing,Recorded
495,Primates,Indriidae,Avahi_ramanantsoavanai,Missing,Recorded
496,Chiroptera,Pteropodidae,Nyctimene_keasti,Missing,Recorded
497,Carnivora,Otariidae,Zalophus_wollebaeki,Missing,Recorded
498,Rodentia,Muridae,Echiothrix_centrosa,Missing,Recorded
499,Cetartiodactyla,Suidae,Sus_brachgnathus,Missing,Recorded
500,Cetartiodactyla,Bovidae,Eudorcas_rufina,Missing,Recorded
501,Eulipotyphla,Soricidae,Chodsigoa_smithii,Missing,Recorded
502,Didelphimorphia,Didelphidae,Philander_olrogi,Missing,Recorded
503,Rodentia,Sciuridae,Aeretes_melanopterus,Missing,Recorded
503,Chiroptera,Pteropodidae,Acerodon_leucotis,Missing,Recorded
505,Rodentia,Calomyscidae,Calomys_tocantinsi,Missing,Recorded
506,Rodentia,Cricetidae,Thomasomys_rosalinda,Missing,Recorded
